accept,except
advise,advice
affect,effect
begin,being
bitch,pitch
brakes,breaks
burrows,borrows
sight,site
cords,chords
country,county
crap,crab
dessert,desert
ease,easy
effects,affects
extend,extent
feet,feat
few,view
form,from
forth,fourth
forums,forms
fund,found
lead,led
life,live
loose,lose
mad,made
or,ore
passed,past
peace,piece
plane,plain
principal,principle
quite,quiet
raise,rise
safe,save
spit,split
than,then
their,there,they
theme,them
things,thinks
trail,trial
tree,three
two,too,to
weak,week
weather,whether
weed,wheat
where,were
which,witch
whole,hole
with,width
world,word
you,your
